ds4: Metal device Apple M5 Max, 64.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 0.016 ms, residency requested in 0.053 ms, warmup 0.405 ms (mapped 1.06 MiB from offset 0.00 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
dimension,rows,repeat,mode,iterations,total_ms,ms_per_cycle,stage0_ms,stage1_ms,stage2_ms
4096,6,1,enqueue_timers,100,41.786000,0.417860,0.003650,0.001100,0.000990
4096,6,1,outer_timer,100,42.534000,0.425340,0.000000,0.000000,0.000000
4096,6,2,outer_timer,100,41.808000,0.418080,0.000000,0.000000,0.000000
4096,6,2,enqueue_timers,100,41.517000,0.415170,0.003760,0.001000,0.000930
4096,6,2,stage_sync_timers,100,74.940000,0.749400,0.243480,0.252790,0.253060
4096,6,3,stage_sync_timers,100,78.722000,0.787220,0.252770,0.256190,0.278200
4096,6,3,enqueue_timers,100,45.667000,0.456670,0.003570,0.001070,0.000940
4096,6,3,outer_timer,100,46.882000,0.468820,0.000000,0.000000,0.000000
4096,6,4,outer_timer,100,46.449000,0.464490,0.000000,0.000000,0.000000
4096,6,4,enqueue_timers,100,45.516000,0.455160,0.003620,0.001040,0.000940
4096,6,4,stage_sync_timers,100,80.385000,0.803850,0.267310,0.272000,0.264410
4096,6,5,stage_sync_timers,100,80.472000,0.804720,0.258880,0.270620,0.275110
4096,6,5,enqueue_timers,100,46.725000,0.467250,0.003490,0.001010,0.000940
4096,6,5,outer_timer,100,45.921000,0.459210,0.000000,0.000000,0.000000
4096,6,6,outer_timer,100,45.672000,0.456720,0.000000,0.000000,0.000000
4096,6,6,enqueue_timers,100,45.423000,0.454230,0.003590,0.001050,0.000950
4096,6,6,stage_sync_timers,100,77.742000,0.777420,0.252960,0.261100,0.263300
4096,6,7,stage_sync_timers,100,76.642000,0.766420,0.252480,0.257450,0.256370
4096,6,7,enqueue_timers,100,45.232000,0.452320,0.003530,0.001090,0.000970
4096,6,7,outer_timer,100,46.219000,0.462190,0.000000,0.000000,0.000000
