case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
fresh_seeds-heldout-prose-256,resident_seed_batch,existing_cost_gate,40,0.8672433920504966,0.9331937639313047,0.9162436448987243,0.9490598142318549,40,34,0.7790560846554231,0.8124355184994028
fresh_seeds-heldout-prose-256,resident_seed_batch,fixed_1,40,0.785326636341348,0.8450475684226619,0.8381004350242611,0.851652718037407,40,40,0.7783247702655463,0.7911804063612989
fresh_seeds-heldout-prose-256,resident_seed_batch,fixed_2,40,0.822809503369612,0.8853808567309638,0.8780957242056586,0.8926344532336242,40,40,0.7962039446772812,0.8280330192573591
fresh_seeds-heldout-prose-256,resident_seed_batch,fixed_3,40,0.7651089350998509,0.8232923923180826,0.8114972368675065,0.835070608255898,40,40,0.7007954476570455,0.7332485785872958
fresh_seeds-heldout-prose-256,resident_seed_batch,fixed_4,40,0.7160218765657852,0.7704724604124454,0.7574848129103606,0.7836297034270948,40,40,0.6438601646741193,0.6910234711588231
fresh_seeds-heldout-prose-256,resident_seed_batch,fixed_5,40,0.6730705890823965,0.7242549002675936,0.7111164496610407,0.7374600855832892,40,40,0.5954207273832641,0.6531932546068197
fresh_seeds-heldout-prose-256,resident_seed_batch,h1,40,0.9703897581800289,1.044183996346532,1.0348230900144197,1.0531727545647596,38,4,0.9575676882102132,0.9736630546786315
fresh_seeds-heldout-prose-256,resident_seed_batch,h2,40,0.9748946284530805,1.0490314438850963,1.0397549946392348,1.0581554728604166,37,2,0.956728767791535,0.9798011045643866
fresh_seeds-heldout-prose-256,resident_seed_batch,ordinary,40,1.0,1.0760459779634366,1.0673518690331079,1.0842987630909178,0,0,1.0,1.0059274086459553
fresh_seeds-heldout-prose-256,separate_seed,default,40,0.8293333260921388,1.0,1.0,1.0,40,0,0.7469791331593325,1.0
fresh_seeds-heldout-prose-256,separate_seed,existing_cost_gate,40,0.8473171099178646,1.0216846269888444,1.0140231682672785,1.0296413999876586,40,7,0.7939553754401951,0.9741592694955871
fresh_seeds-heldout-prose-256,separate_seed,fixed_1,40,0.785326636341348,0.946937270737506,0.9368438784799081,0.9567001324145241,40,39,0.7783247702655463,0.8462008260764868
fresh_seeds-heldout-prose-256,separate_seed,fixed_2,40,0.822809503369612,0.9921336542047968,0.9831694144824669,1.0007862051517689,40,24,0.7962039446772812,0.9114337881918784
fresh_seeds-heldout-prose-256,separate_seed,fixed_3,40,0.8150955472180298,0.9828322600501318,0.9753339655339807,0.9902080176436098,40,28,0.7726364545526699,0.9417061321592913
fresh_seeds-heldout-prose-256,separate_seed,fixed_4,40,0.7922571770502301,0.9552940321153939,0.9483072513854729,0.9623956235893383,40,39,0.74169671488712,0.9161587263051525
fresh_seeds-heldout-prose-256,separate_seed,fixed_5,40,0.7668546755332338,0.9246640059030214,0.916704917756464,0.9325835480255309,40,39,0.7055293933450992,0.8730776746322949
fresh_seeds-heldout-prose-256,separate_seed,h1,40,0.978245970471872,1.1795570486494462,1.1667873414757788,1.1921252274217893,40,0,0.9689392293025157,1.0571301484965867
fresh_seeds-heldout-prose-256,separate_seed,h2,40,0.9827357973197461,1.1849708270502617,1.1720576376554652,1.1976606443124376,40,0,0.9741415216806678,1.0645898756794796
fresh_seeds-heldout-prose-256,separate_seed,ordinary,40,1.0,1.2057877918786302,1.1930363343437351,1.2181886871892356,0,0,1.0,1.0829805541563975
fresh_seeds-heldout-structured-2048,resident_seed_batch,default,40,1.4067447655278373,1.0,1.0,1.0,0,0,1.1828911779325304,1.0
fresh_seeds-heldout-structured-2048,resident_seed_batch,existing_cost_gate,40,1.3449189311842447,0.9560504251669318,0.9369578126081881,0.9753758890903576,0,27,1.0866995316076042,0.8370135457787086
fresh_seeds-heldout-structured-2048,resident_seed_batch,fixed_1,40,0.8217695300693398,0.5841639153076901,0.5727455411207765,0.596257412542082,40,40,0.8155209131627592,0.5323154534150238
fresh_seeds-heldout-structured-2048,resident_seed_batch,fixed_2,40,0.9978541707654957,0.7093356202331998,0.6961541347563075,0.723699596588577,23,40,0.9757958236337713,0.6513989068603909
fresh_seeds-heldout-structured-2048,resident_seed_batch,fixed_3,40,1.1515452501732104,0.8185886156406835,0.8000147940238407,0.8381287743605274,0,40,1.0475388466064537,0.7161668631343268
